id,firebase_key,power,mode,eco,powerful,temp_room,temp_set,humidity,timestamp,created_at
1,0,1,COOL,0,0,26.0,24.0,18.0,15062,2026-04-03 06:25:31
22,1,1,HEAT,0,0,26.0,24.0,18.0,271725,2026-04-03 06:29:09
25,2,1,COOL,0,0,25.0,24.0,18.0,280912,2026-04-03 06:29:19
26,3,1,HEAT,0,0,25.0,24.0,18.0,284199,2026-04-03 06:29:19
387,4,1,HEAT,0,0,25.0,24.0,18.0,1184562,2026-04-03 06:44:23
833,5,1,HEAT,0,0,25.0,24.0,18.0,2085840,2026-04-03 06:59:24
1362,6,1,HEAT,0,0,25.0,24.0,18.0,2987179,2026-04-03 07:14:18
2126,7,1,COOL,0,0,25.0,24.0,18.0,19658,2026-04-03 07:32:47
2127,8,1,HEAT,0,0,25.0,24.0,18.0,27705,2026-04-03 07:32:47
2137,9,1,COOL,0,0,25.0,24.0,18.0,30908,2026-04-03 07:32:57
2598,10,1,COOL,0,0,22.0,24.0,20.0,53188,2026-04-03 07:40:50
2610,11,1,COOL,1,0,22.0,24.0,20.0,60391,2026-04-03 07:41:00
2611,12,1,COOL,0,1,22.0,24.0,20.0,65099,2026-04-03 07:41:00
2625,13,1,COOL,0,0,22.0,24.0,20.0,76320,2026-04-03 07:41:11
2640,14,1,COOL,1,0,22.0,24.0,20.0,79488,2026-04-03 07:41:21
2641,15,1,COOL,0,1,22.0,24.0,20.0,83201,2026-04-03 07:41:21
2706,16,1,COOL,0,0,22.0,24.0,20.0,120031,2026-04-03 07:42:02
4254,17,0,COOL,0,0,22.0,24.0,20.0,911340,2026-04-03 07:57:32
5857,18,0,COOL,0,0,21.0,24.0,20.0,1812603,2026-04-03 08:12:41
7530,19,0,COOL,0,0,21.0,24.0,20.0,2714088,2026-04-03 08:27:39
20511,20,1,COOL,0,0,19.0,24.0,21.0,20165,2026-04-03 10:17:35
20512,21,1,COOL,1,0,19.0,24.0,21.0,23865,2026-04-03 10:17:35
20535,22,1,COOL,0,1,19.0,24.0,21.0,35268,2026-04-03 10:17:45
20582,23,1,COOL,0,0,19.0,24.0,21.0,54938,2026-04-03 10:18:06
20607,24,1,HEAT,0,0,20.0,24.0,21.0,60712,2026-04-03 10:18:16
20633,25,1,COOL,0,0,20.0,24.0,21.0,66623,2026-04-03 10:18:26
